11,9,1,1,7,2,7,29,13,2,0,7,4,53,18,1,2,4,0,66,12,1,1,2,0,1,0,0,1,1,0,2,0,1,56
15,11,1,1,6,3,6,29,11,2,1,5,0,58,21,2,1,4,0,66,10,1,1,1,0,0,2,3,1,2,0,0,2,0,56
11,9,1,1,6,4,6,20,8,1,3,3,7,42,17,2,1,2,3,49,9,1,3,1,2,3,0,3,1,2,2,2,0,0,42
13,10,2,1,4,0,5,30,13,2,0,4,0,54,19,2,2,3,0,57,6,0,2,1,0,1,1,1,0,1,2,1,2,1,48
17,12,1,1,6,5,6,30,11,1,3,6,0,59,21,2,2,5,0,75,14,1,2,2,0,0,3,2,2,1,0,0,0,1,64
3,4,1,3,1,8,4,10,6,2,0,1,4,13,5,1,1,0,5,17,5,0,1,0,3,2,2,1,0,2,2,1,2,1,14
14,11,2,1,3,0,4,26,9,2,1,3,0,41,13,2,2,2,0,45,8,1,1,1,0,3,1,2,0,3,0,2,0,1,39
7,6,0,2,4,7,6,12,5,2,1,1,8,10,1,1,1,0,5,8,1,1,3,0,0,3,0,3,1,0,1,1,1,1,7
17,12,2,2,5,4,5,30,10,1,1,4,1,54,18,2,1,3,3,62,10,1,2,1,0,1,2,2,0,3,2,2,0,1,52
12,9,2,1,2,7,4,22,8,2,3,2,2,31,9,1,2,1,5,26,1,2,2,0,2,1,2,2,0,3,2,2,0,1,22
21,14,3,1,5,0,5,31,9,1,0,5,0,56,18,2,2,4,0,70,13,2,1,1,0,3,0,1,0,1,1,2,2,2,59
16,12,2,2,7,3,7,35,14,2,0,7,0,67,22,2,2,5,0,81,14,1,3,2,2,3,3,1,3,3,0,1,1,2,69
18,12,3,1,4,1,4,35,13,3,2,4,0,61,20,2,2,3,0,73,11,1,2,1,0,3,1,0,0,2,0,2,0,0,62
17,12,2,3,5,4,5,36,14,3,1,5,0,59,18,1,1,4,0,70,11,2,1,1,0,3,3,0,1,0,2,1,0,0,59
9,8,1,3,3,6,3,22,10,2,1,3,3,42,15,0,1,2,0,45,6,0,2,1,0,2,2,0,2,1,1,0,0,2,39
21,14,2,1,5,5,6,35,11,2,2,4,0,50,13,1,2,2,0,53,7,1,1,1,0,0,2,1,1,0,0,0,1,0,45
