3,0,0,2,4,3,3,6,1,3,2,3,2,0,0,4,4,2,2,55,3,0,0,0,4,6,8,3,4,0,4,3,2,5,2,4,4,6,2,2,7,2,3,4,3,0,1,2
8,0,2,3,2,4,7,8,1,2,4,1,1,0,0,5,0,5,4,20,1,2,0,0,6,2,1,2,7,5,8,8,2,3,3,6,3,7,1,0,0,5,3,2,3,1,5,3
2,0,2,1,2,4,2,4,1,2,2,3,1,2,2,3,4,1,1,26,2,2,6,2,5,2,8,0,2,0,8,3,0,5,2,2,5,7,3,4,3,2,3,3,0,0,0,1
0,1,2,1,9,1,1,1,1,2,0,5,2,6,5,1,2,0,1,50,1,2,5,5,4,6,8,3,2,2,8,3,2,6,2,1,4,7,1,4,3,3,3,5,0,0,0,1
3,4,1,1,3,4,5,7,1,2,2,3,1,0,0,4,0,2,3,33,2,1,6,0,5,1,6,0,4,4,8,5,0,3,2,3,0,8,5,4,7,4,3,3,0,0,0,5
4,0,0,2,6,4,5,7,1,3,2,4,2,0,0,4,3,5,3,45,2,2,4,0,5,2,4,1,8,0,7,8,1,6,3,5,1,4,2,0,7,2,3,2,3,2,4,4
0,0,1,1,8,1,0,0,1,0,0,4,0,4,4,0,2,0,2,16,2,0,0,6,4,8,1,6,0,0,8,1,4,7,0,3,0,6,2,2,2,0,3,5,3,0,0,4
3,1,1,1,0,1,3,6,1,1,3,2,1,0,0,4,0,3,4,7,3,0,1,0,4,4,3,4,1,4,3,1,2,3,5,6,4,6,1,0,7,7,3,1,3,2,5,2
2,2,0,1,0,1,1,4,1,1,3,2,1,1,1,2,2,1,3,17,2,0,2,1,4,4,5,3,4,1,8,5,3,5,3,3,5,5,3,1,0,2,3,3,3,0,1,0
3,2,2,1,10,1,2,2,1,1,0,5,1,4,4,1,1,2,4,43,2,1,0,5,5,9,3,6,7,6,7,7,6,5,6,3,2,1,2,0,2,5,3,1,3,2,4,3
8,1,0,2,7,2,7,8,1,2,1,4,2,0,0,5,0,4,4,53,3,0,2,0,7,5,5,4,4,7,4,3,3,4,5,5,2,5,5,0,4,6,3,3,3,1,4,3
1,1,2,1,0,0,1,4,1,1,3,2,1,1,1,2,2,3,3,33,2,1,4,0,2,0,8,0,6,1,8,7,0,4,1,4,5,6,4,2,3,1,3,3,3,0,0,0
1,3,0,2,5,2,4,7,1,2,2,3,1,0,0,4,0,3,4,11,1,0,0,0,5,9,3,6,8,5,3,4,5,3,4,4,0,4,3,0,7,3,3,2,3,1,4,3
5,0,2,2,2,0,1,4,1,2,3,3,2,2,2,3,2,5,4,23,5,0,0,1,4,3,1,3,3,1,6,3,2,4,5,3,4,4,5,2,7,5,3,4,3,1,1,1
2,0,0,0,10,3,0,0,1,1,0,3,1,5,3,0,4,2,2,62,2,2,2,3,2,4,6,3,6,2,8,7,3,4,2,2,1,3,4,1,0,1,3,4,3,0,1,3
