N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
WeakUp,StronUp,Down,WeakUp,WeakUp,VeryWet,Neutral,Wet,VeryWet,Clear,PC,Clear,PC,Weak,Strong,Westerly,Strong,Weak,Strong,Some,LittleChange,LittleChange,StrongPos,LittleChange,SIG,May15_Jun14,H,CThruK,PartInhibit,LessThanAve,LessThanAve,H,N1GtLIGt_4,Instability,MoreUnstable,Average,HI,Stifling,Weak,None,H,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Average,ModerateOrLe,OtherRapid,DryMMoistL,None,SigNegative,Moving,NWQuad,LVorOther,SEQuad
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,None,Strong,Other,None,Strong,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,SVR,Jul16_Aug10,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,Slight,J,XNIL,XNIL,SVR,LowAtStation,Stable,Dry,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,WidespdDnsl
Neutral,Neutral,WeakUp,Neutral,Neutral,Wet,Dry,Neutral,Neutral,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,WeakPos,LittleChange,SIG,Jul2_Jul15,E,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,LIGt0,Neutral,LessUnstable,LessUnstable,ACEFK,None,Weak,Slight,E,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Dry,ModerateOrLe,OtherRapid,MoistMDryL,DryLine,SigNegative,None,SWQuad,Westerly,E_NE
Down,WeakUp,Neutral,Down,Down,Neutral,Wet,Neutral,Dry,PC,PC,PC,PC,Weak,Strong,Westerly,None,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,Increasing,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,LessUnstable,MoreUnstable,ACEFK,Stifling,Weak,None,E,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Average,Steep,NoMajor,Other,None,SigNegative,None,SWQuad,Westerly,LV
Down,Neutral,StrongUp,WeakUp,WeakUp,Neutral,VeryWet,Wet,Wet,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug20_Sep15,B,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,PartInhibit,Moderate,Strong,B,SIG,SIG,SIG,LowAtStation,Steep,Average,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,LittleChange,None,LV,Westerly,DenvCyclone
StrongUp,WeakUp,StrongUp,StrongUp,StrongUp,Dry,Wet,Wet,VeryWet,Clear,PC,Clear,Cloudy,None,None,DCVZFavor,None,None,None,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,GJ,TotalInhibit,Weak,None,J,XNIL,SIG,SIG,LowNHighS,Steep,Dry,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,SEQuad
Down,StronUp,Down,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,PC,Clear,Clear,None,Weak,DCVZFavor,Strong,Weak,Strong,Some,DecCapIncIns,Decreasing,Neutral,Increasing,SIG,Aug20_Sep15,J,CThruK,PartInhibit,Average,LessThanAve,CDEJ,LIGt0,Stability,Average,Average,GJ,None,Strong,Strong,J,SVR,SVR,SVR,LowAtStation,Steep,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,Moving,LV,LVorOther,DenvCyclone
Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Weak,None,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SVR,Aug20_Sep15,E,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,LILt_8,Neutral,MoreUnstable,Average,ACEFK,None,Moderate,Strong,E,SIG,SIG,SVR,LowAtStation,ModerateOrLe,Average,Steep,NoMajor,Other,DenvCyclone,PosToNeg,None,SWQuad,Westerly,LV
Down,Neutral,Down,Down,Down,Neutral,Dry,Neutral,Dry,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,None,Weak,None,IncCapDecIns,Increasing,Negative,Decreasing,SVR,Aug20_Sep15,C,CThruK,None,Average,Average,CDEJ,N5GtLIGt_8,Instability,Average,Average,ACEFK,PartInhibit,Moderate,None,C,XNIL,XNIL,SVR,LowEvrywhere,ModerateOrLe,Average,Steep,MarkedUpper,Other,E_W_N,LittleChange,None,NWQuad,Westerly,LongAnticyc
StrongUp,StronUp,Neutral,StrongUp,StrongUp,VeryWet,Neutral,Neutral,Dry,Clear,Cloudy,Clear,Clear,None,None,StrongWest,None,Strong,None,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,B,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,Average,B,Stifling,Strong,None,B,SIG,SIG,SIG,LowSHighN,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,None,NWQuad,LVorOther,SEQuad
