N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,Strong,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,May15_Jun14,E,CThruK,PartInhibit,Average,Average,CDEJ,LIGt0,Instability,Average,Average,ACEFK,None,Unfavorable,Slight,E,SVR,SVR,SVR,LowNHighS,ModerateOrLe,Average,Steep,NoMajor,MoistMDryL,None,PosToNeg,None,AllElse,Westerly,LV
Down,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Wet,Wet,Clear,Clear,Clear,Clear,None,Weak,Westerly,None,None,None,Some,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Aug11_Aug20,A,AB,None,LessThanAve,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,A,SIG,SIG,SIG,Other,Stable,Average,Steep,StrongFront,DryMMoistL,DenvCyclone,NegToPos,QStationary,SWQuad,Westerly,SEQuad
Down,Neutral,Neutral,Down,Down,Wet,VeryWet,VeryWet,Wet,PC,PC,Clear,Clear,None,None,DCVZFavor,None,Weak,Strong,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul2_Jul15,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,TotalInhibit,Weak,None,A,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,Other,DenvCyclone,NegToPos,Other,SWQuad,Westerly,DenvCyclone
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,Dry,Cloudy,PC,PC,PC,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,Neutral,Increasing,SIG,May15_Jun14,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,LILt_8,Neutral,MoreUnstable,MoreUnstable,GJ,None,Weak,Slight,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,StrongFront,MoistMDryL,Other,LittleChange,None,SWQuad,Westerly,LongAnticyc
WeakUp,StronUp,WeakUp,StrongUp,StrongUp,Wet,Wet,Wet,VeryWet,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,None,Weak,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SVR,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Instability,Average,Average,ACEFK,None,Moderate,Strong,K,SIG,SIG,SVR,LowEvrywhere,Stable,Average,Steep,StrongFront,Other,MovingFtorOt,SigNegative,Moving,NWQuad,Westerly,E_NE
Down,Down,Down,Down,Down,Wet,Neutral,Wet,Wet,PC,Clear,PC,Clear,Weak,Strong,DCVZFavor,Strong,None,Weak,Some,IncCapDecIns,Increasing,WeakPos,LittleChange,XNIL,Jul16_Aug10,B,AB,TotalInhibit,Average,MoreThanAve,ABI,LIGt0,Stability,LessUnstable,LessUnstable,B,None,Strong,Moderate,B,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Other,SWQuad,Westerly,SEQuad
WeakUp,Down,Neutral,Down,Down,Neutral,VeryWet,Neutral,Dry,PC,PC,Cloudy,PC,Strong,Strong,Other,None,Strong,Strong,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,I,CThruK,None,Average,Average,ABI,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,HI,Stifling,Moderate,Slight,I,XNIL,XNIL,SIG,LowSHighN,Stable,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,LittleChange,QStationary,LV,LVorOther,DenvCyclone
WeakUp,Neutral,Down,Down,Down,Dry,VeryWet,Neutral,Neutral,PC,PC,Clear,Clear,Strong,Strong,Other,Weak,Weak,None,Some,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,F,CThruK,PartInhibit,LessThanAve,MoreThanAve,F,LILt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,Stifling,Unfavorable,None,F,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,Other,LittleChange,None,LV,LVorOther,LV
Down,WeakUp,Neutral,Neutral,Neutral,Dry,VeryWet,Dry,Dry,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Weak,None,Weak,Some,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Jul16_Aug10,G,CThruK,PartInhibit,Average,MoreThanAve,G,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Moderate,Slight,G,SVR,SVR,SVR,LowEvrywhere,CloseToDryAd,Average,Steep,NoMajor,MoistMDryL,None,LittleChange,None,LV,LVorOther,WidespdDnsl
WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,Clear,Cloudy,Clear,Clear,Strong,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Jul16_Aug10,E,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Moderate,Moderate,E,SIG,SIG,SIG,LowAtStation,Steep,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,PosToNeg,None,LV,Westerly,E_NE
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Clear,PC,Clear,PC,None,None,Other,None,None,None,None,LittleChange,LittleChange,Negative,LittleChange,XNIL,May15_Jun14,G,CThruK,PartInhibit,Average,Average,G,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,GJ,None,Unfavorable,Slight,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,None,SigNegative,None,AllElse,LVorOther,LV
Neutral,Down,Neutral,Down,Down,VeryWet,Wet,Wet,Neutral,Clear,PC,Clear,Clear,None,Weak,DCVZFavor,None,Strong,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Aug11_Aug20,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,None,E,XNIL,XNIL,XNIL,LowSHighN,CloseToDryAd,Average,ModerateOrLe,OtherRapid,MoistMDryL,E_W_N,NegToPos,None,SWQuad,Westerly,LV
