N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
StrongUp,StronUp,WeakUp,StrongUp,StrongUp,VeryWet,Neutral,Neutral,Wet,PC,PC,PC,Cloudy,Strong,Strong,StrongWest,Strong,None,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,Moderate,G,SIG,SVR,SVR,LowAtStation,Steep,Dry,CloseToDryAd,MarkedUpper,Other,None,SigNegative,QStationary,NWQuad,LVorOther,LV
WeakUp,Neutral,Down,WeakUp,WeakUp,Dry,Dry,Dry,Dry,PC,Clear,Clear,Clear,None,None,Other,None,None,None,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Moderate,I,SVR,SIG,SIG,LowSHighN,Steep,Dry,CloseToDryAd,NoMajor,Other,MovingFtorOt,SigNegative,QStationary,LV,LVorOther,E_NE
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,VeryWet,VeryWet,VeryWet,PC,PC,PC,Cloudy,None,None,DCVZFavor,None,Weak,Strong,None,IncCapDecIns,Increasing,WeakPos,Decreasing,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,Average,LessUnstable,ACEFK,PartInhibit,Strong,Moderate,C,XNIL,XNIL,XNIL,LowAtStation,Steep,Dry,CloseToDryAd,NoMajor,Other,E_W_N,SigPositive,None,AllElse,LVorOther,LongAnticyc
WeakUp,WeakUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,VeryWet,PC,Clear,PC,Cloudy,Strong,Weak,DCVZFavor,None,Weak,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul16_Aug10,F,CThruK,Stifling,MoreThanAve,MoreThanAve,F,N5GtLIGt_8,Stability,Average,Average,ACEFK,None,Strong,Slight,F,XNIL,XNIL,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,OtherRapid,Other,Other,PosToNeg,None,LV,LVorOther,SEQuad
StrongUp,StronUp,Down,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,Clear,PC,PC,PC,None,None,StrongWest,None,Strong,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jun15_Jul1,E,CThruK,None,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Moderate,E,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,None,NegToPos,None,SWQuad,Westerly,WidespdDnsl
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Dry,Dry,PC,PC,PC,Clear,Weak,Strong,StrongWest,Strong,None,Strong,Some,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Jul2_Jul15,C,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,None,C,XNIL,XNIL,SIG,LowEvrywhere,Steep,Average,ModerateOrLe,StrongFront,Other,E_W_S,NegToPos,QStationary,SWQuad,LVorOther,LongAnticyc
Neutral,StronUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,PC,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul2_Jul15,C,CThruK,PartInhibit,Average,Average,CDEJ,LILt_8,Stability,Average,MoreUnstable,ACEFK,None,Weak,Slight,C,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,E_W_S,NegToPos,None,AllElse,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Neutral,Cloudy,PC,Cloudy,Cloudy,None,None,Other,None,Weak,Weak,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,Average,HI,Stifling,Weak,None,I,XNIL,XNIL,XNIL,LowSHighN,Stable,VeryMoist,CloseToDryAd,NoMajor,Other,E_W_S,NegToPos,QStationary,SWQuad,LVorOther,DenvCyclone
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,PC,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,DecCapIncIns,Decreasing,StrongPos,Increasing,SVR,Jul2_Jul15,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Slight,E,SIG,SIG,SVR,LowSHighN,ModerateOrLe,Average,Steep,NoMajor,MoistMDryL,DryLine,SigPositive,None,SWQuad,LVorOther,LongAnticyc
StrongUp,Down,Down,Down,Down,Dry,VeryWet,Wet,Neutral,PC,PC,PC,Clear,Strong,Strong,Other,Weak,Weak,Strong,None,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Jul16_Aug10,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,PartInhibit,Weak,None,E,XNIL,XNIL,SIG,LowSHighN,Stable,Average,Steep,NoMajor,DryMMoistL,E_W_N,PosToNeg,None,SWQuad,Westerly,E_NE
Neutral,WeakUp,WeakUp,WeakUp,WeakUp,VeryWet,Dry,Neutral,Wet,Clear,PC,Clear,Clear,None,None,Westerly,None,Weak,Weak,None,DecCapIncIns,Decreasing,WeakPos,Decreasing,XNIL,Aug20_Sep15,G,CThruK,PartInhibit,MoreThanAve,Average,G,LILt_8,Stability,Average,Average,GJ,Stifling,Unfavorable,None,G,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,DryLine,PosToNeg,None,SWQuad,Westerly,LV
Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Cloudy,Clear,Cloudy,Cloudy,Weak,Strong,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Jul2_Jul15,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,N1GtLIGt_4,Instability,Average,Average,GJ,Stifling,Strong,None,G,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,DryLine,LittleChange,None,NWQuad,Westerly,WidespdDnsl
StrongUp,Down,StrongUp,StrongUp,StrongUp,VeryWet,Neutral,VeryWet,VeryWet,PC,Clear,PC,Cloudy,None,None,Other,None,Strong,Strong,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,None,Moderate,Strong,E,XNIL,XNIL,XNIL,HighEvrywher,Steep,Dry,ModerateOrLe,NoMajor,Other,E_W_N,LittleChange,None,SWQuad,LVorOther,LV
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Wet,Wet,Neutral,PC,Clear,PC,PC,None,None,Westerly,None,None,None,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,LessThanAve,Average,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Slight,I,XNIL,XNIL,XNIL,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,OtherRapid,DryMMoistL,E_W_S,NegToPos,Moving,SWQuad,LVorOther,DenvCyclone
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,Dry,Dry,PC,Cloudy,Cloudy,PC,None,None,Other,None,None,None,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,Average,Average,ACEFK,PartInhibit,Moderate,Moderate,A,XNIL,XNIL,XNIL,HighEvrywher,Stable,VeryMoist,Steep,StrongFront,Other,DenvCyclone,NegToPos,Other,SWQuad,Westerly,SEQuad
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,Neutral,Neutral,PC,PC,Clear,Clear,Weak,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug20_Sep15,C,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,Average,ACEFK,None,Weak,Moderate,C,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_N,NegToPos,Other,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,VeryWet,Wet,VeryWet,PC,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,None,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jun15_Jul1,D,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,D,PartInhibit,Strong,Strong,D,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,CloseToDryAd,OtherRapid,DryMMoistL,DenvCyclone,SigNegative,Other,SWQuad,Westerly,LV
Down,WeakUp,WeakUp,Down,Down,Neutral,Dry,Dry,Dry,Clear,PC,PC,Clear,Strong,Strong,Other,Weak,None,Strong,None,LittleChange,LittleChange,Negative,LittleChange,SVR,May15_Jun14,C,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Slight,C,XNIL,XNIL,SVR,LowEvrywhere,Steep,Dry,Steep,OtherRapid,DryMMoistL,E_W_S,SigPositive,None,NWQuad,LVorOther,LongAnticyc
